date,PPO,A2C,DDPG
2016-01-05,1.0,1.0,1.0
2016-01-06,0.999893124460312,0.9974718081855947,0.9964982433022629
2016-01-07,0.9995704858789809,0.9929448828229378,0.9878805592213722
2016-01-08,0.9995570104096746,0.9927330293294018,0.9875640863913105
2016-01-11,0.999551931600453,0.9929356306393244,0.9879761483277046
2016-01-12,0.9995945499792098,0.9933541073192763,0.989902469311882
2016-01-13,0.9992727094745326,0.9896872625767728,0.9807200959437944
2016-01-14,0.9994305031524532,0.9941721036404415,0.9836229262149471
2016-01-15,0.9994128266179864,0.9938910745940988,0.983209090588645
2016-01-19,0.9994128266179864,0.9938910745940988,0.983209090588645
2016-01-20,0.999318723617645,0.9930116591614369,0.9819214892785674
2016-01-21,0.9993145581026074,0.9929435874927721,0.9818216812392907
2016-01-22,0.9993678513450475,0.9928800233563445,0.9834955686106113
2016-01-25,0.9993635917965791,0.9928112120975626,0.9833932727993789
2016-01-26,0.9994084108246208,0.9942079220413912,0.9845842618658255
2016-01-27,0.9994041587939765,0.9941382343586475,0.9844822997270386
2016-01-28,0.9994041587939765,0.9941382343586475,0.9844822997270386
2016-01-29,0.9994041587939765,0.9941382343586475,0.9844822997270386
2016-02-01,0.9994041587939765,0.9941382343586475,0.9844822997270386
2016-02-02,0.9993886776334154,0.99310590490183,0.9818485494368995
2016-02-03,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-04,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-05,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-08,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-09,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-10,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-11,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-12,0.9993843866177546,0.9930356212744741,0.9817476238282229
2016-02-16,0.9994298243505488,0.993705563002436,0.9837780423115234
2016-02-17,0.9996156556968389,0.9950835958060247,0.9875682306946452
2016-02-18,0.9996699327123099,0.9949534642429084,0.9857556086858789
2016-02-19,0.9996566355314458,0.9947384700355733,0.9854520874770435
2016-02-22,0.9996955644439189,0.9957744696707126,0.9873611148474098
