date,PPO_with_turbulence,PPO_no_turbulence
2016-01-05,1.0,1.0
2016-01-06,0.9997836425631439,0.9997836425631439
2016-01-07,0.9991885329066929,0.9991885329066929
2016-01-08,0.9991665722792649,0.9989045220140532
2016-01-11,0.9991937897761922,0.9990696136445768
2016-01-12,0.9993270441338905,0.9994839477276821
2016-01-13,0.9988011459467084,0.9982666596575062
2016-01-14,0.9990299399695273,0.9987314306306097
2016-01-15,0.9990009722827138,0.9972977486042858
2016-01-19,0.9990009722827138,0.9977155559158564
2016-01-20,0.9988892590368663,0.9965579693858571
2016-01-21,0.9988822377067623,0.9972086175683555
2016-01-22,0.9989624281602435,0.9983360070943709
2016-01-25,0.9989552647577575,0.9975613185861042
2016-01-26,0.9990657125227327,0.9993175551704322
2016-01-27,0.9990584863871245,0.997296988030197
2016-01-28,0.9990584863871245,0.9984263147180494
2016-01-29,0.9990584863871245,1.001419230913291
2016-02-01,0.9990584863871245,1.0016089278370068
2016-02-02,0.9989312022418879,0.9992027845760596
2016-02-03,0.998923977990063,1.0002405033836956
2016-02-04,0.998923977990063,1.0007450802141273
2016-02-05,0.998923977990063,0.9977358659171072
2016-02-08,0.998923977990063,0.9956612923300738
2016-02-09,0.998923977990063,0.9964302614156475
2016-02-10,0.998923977990063,0.9952963876191742
2016-02-11,0.998923977990063,0.9914678733365563
2016-02-12,0.998923977990063,0.9948154257427777
2016-02-16,0.9990262615983623,0.997978954893896
2016-02-17,0.9992566236777335,1.0015345689624564
2016-02-18,0.9992188499190464,1.0012121371253482
2016-02-19,0.9991970563815576,1.000315168267769
2016-02-22,0.9993070589506874,1.0041768277445826
2016-02-23,0.9991986552787077,1.002451628497149
2016-02-24,0.9992534802871545,1.0031691567813186
2016-02-25,0.9996374520788717,1.0066834959718092
2016-02-26,0.999457265516601,1.0053976159365152
2016-02-29,0.9991425647659469,1.0034439106713853
2016-03-01,0.9999340497224244,1.007887149418839
2016-03-02,0.9999244564728998,1.0078689843816337
2016-03-03,0.9999223485735765,1.0078858707415561
2016-03-04,1.000153508650286,1.008880585074317
2016-03-07,1.0003131796643563,1.0095264975529623
2016-03-08,1.000230793135703,1.0098992098828197
2016-03-09,1.0002446836802334,1.0108542107033087
2016-03-10,1.0002302969748085,1.0106887501919848
2016-03-11,1.0005460501580632,1.015745788847345
2016-03-14,1.0006444645640509,1.0170106261288396
2016-03-15,1.0007414738506208,1.0180286419495146
2016-03-16,1.0010085260933297,1.0203103348167506
2016-03-17,1.00150882811843,1.0240039009579969
2016-03-18,1.0018519496585996,1.026277035090689
2016-03-21,1.0020290083311496,1.0273580120496302
2016-03-22,1.0019091991370341,1.0267456010917662
2016-03-23,1.0015974101031144,1.0252180281314247
2016-03-24,1.0014147724371356,1.0243943755666833
2016-03-28,1.0015546542300633,1.0250341063128279
2016-03-29,1.0020005403729682,1.026905901572859
2016-03-30,1.0024332426269873,1.0286308746560728
2016-03-31,1.0020295942555306,1.0271388467338551
2016-04-04,1.0020295942555306,1.0271388467338551
2016-04-05,1.0018168683475865,1.0269207902562734
