window,PPO_sharpe,A2C_sharpe,DDPG_sharpe,selected
2016-01,-0.36184756307189325,-1.761359159787814,-2.7363919242430756,PPO
2016-04,4.3027519284132945,4.121806761962817,2.3034741051236716,PPO
2016-07,-1.4919074933291239,-0.9467868038960305,-0.9455848966982018,DDPG
2016-10,-0.5228838588145148,0.4329516633103396,0.7040460685529176,DDPG
2017-01,1.6841688699152948,1.1384852403696406,3.0799172297265787,DDPG
2017-04,0.7232075715831562,2.418636570605536,0.8674140974816774,A2C
2017-07,1.6443626999109118,0.19638092438460927,-0.3217058965103001,PPO
2017-10,-2.6833072117955914,0.781376478945266,2.302755331981249,DDPG
2018-01,4.256077570050712,0.3605054020656213,4.755064570721755,DDPG
2018-04,-1.1930845408628632,-1.8794271289394004,-1.3877976889207255,PPO
2018-07,1.307848443590767,0.4388612036663107,1.5156426538654413,DDPG
2018-10,3.138273553910716,2.8547551111262863,3.1794252493699653,DDPG
2019-01,0.22495950652111182,-0.6951941725596148,-1.6892172816420037,PPO
2019-04,-0.2126945208664323,-0.39913291155422703,0.2601674330218669,DDPG
2019-07,-1.0068896428725436,-1.794254990641551,-1.0085784372085815,PPO
2019-10,0.993720523098575,0.11736735126871461,-0.1416031882903992,PPO
2020-01,1.7435341872238757,0.5029459634229898,1.7603423335303499,DDPG
2020-04,-2.679800153332438,-0.2242531207450087,-1.101528301571834,A2C
