date,Ensemble
2016-01-05,1.0
2016-01-06,0.999893124460312
2016-01-07,0.9995704858789809
2016-01-08,0.9995570104096746
2016-01-11,0.999551931600453
2016-01-12,0.9995945499792098
2016-01-13,0.9992727094745326
2016-01-14,0.9994305031524532
2016-01-15,0.9994128266179864
2016-01-19,0.9994128266179864
2016-01-20,0.999318723617645
2016-01-21,0.9993145581026074
2016-01-22,0.9993678513450475
2016-01-25,0.9993635917965791
2016-01-26,0.9994084108246208
2016-01-27,0.9994041587939765
2016-01-28,0.9994041587939765
2016-01-29,0.9994041587939765
2016-02-01,0.9994041587939765
2016-02-02,0.9993886776334154
2016-02-03,0.9993843866177546
2016-02-04,0.9993843866177546
2016-02-05,0.9993843866177546
2016-02-08,0.9993843866177546
2016-02-09,0.9993843866177546
2016-02-10,0.9993843866177546
2016-02-11,0.9993843866177546
2016-02-12,0.9993843866177546
2016-02-16,0.9994298243505488
2016-02-17,0.9996156556968389
2016-02-18,0.9996699327123099
2016-02-19,0.9996566355314458
2016-02-22,0.9996955644439189
2016-02-23,0.9995843067773594
2016-02-24,0.9996188082260262
2016-02-25,0.9998281363620849
2016-02-26,0.999763285371134
2016-02-29,0.9995853162760318
2016-03-01,1.0003369192364906
2016-03-02,1.0002866938356998
2016-03-03,1.000416870591453
2016-03-04,1.0006472417565389
2016-03-07,1.0011329476293949
2016-03-08,1.0010820647623448
2016-03-09,1.0010913603062748
2016-03-10,1.0010422788740876
2016-03-11,1.0012712412264173
2016-03-14,1.0012627795737397
2016-03-15,1.0012726956822744
2016-03-16,1.0014363959963082
2016-03-17,1.0018846294082024
2016-03-18,1.0019943986882374
2016-03-21,1.0020119154115175
2016-03-22,1.0017772159515317
2016-03-23,1.001439827957725
2016-03-24,1.0016269672402942
2016-03-28,1.001894955837295
2016-03-29,1.0019835683881204
2016-03-30,1.002324751179408
2016-03-31,1.0022585905952357
2016-04-04,1.0022585905952357
2016-04-05,1.0021652270061683
2016-04-06,1.0021765060665748
2016-04-07,1.0019431069247373
2016-04-08,1.002033977156911
2016-04-11,1.0020437308881496
2016-04-12,1.0022343271807133
2016-04-13,1.0026901080192296
2016-04-14,1.002688120315087
2016-04-15,1.002674363938907
2016-04-18,1.0027714509149515
2016-04-19,1.0022951810837923
2016-04-20,1.0022473604921587
2016-04-21,1.0022473604921587
2016-04-22,1.0022473604921587
2016-04-25,1.0022473604921587
2016-04-26,1.00224540950685
2016-04-27,1.0022537925609605
2016-04-28,1.0022458654018493
2016-04-29,1.0022312814932266
2016-05-02,1.0022634737269167
2016-05-03,1.0021604511276287
2016-05-04,1.0020497722366184
2016-05-05,1.0021360380458295
2016-05-06,1.0021787732900518
2016-05-09,1.0021077259783155
2016-05-10,1.0025929632186201
2016-05-11,1.002375451121291
2016-05-12,1.002340809478952
2016-05-13,1.0020172114019645
2016-05-16,1.0023179596790037
2016-05-17,1.0018251621613952
2016-05-18,1.0022002529549914
2016-05-19,1.00135756968668
2016-05-20,1.0012999634101052
2016-05-23,1.0012934289394142
2016-05-24,1.001394845217479
2016-05-25,1.0015465279311209
2016-05-26,1.0015371052404956
2016-05-27,1.0015886546070882
2016-05-31,1.0016113654937993
2016-06-01,1.001590488245994
2016-06-02,1.0016821693866695
2016-06-03,1.0015196315495019
2016-06-06,1.0016546841417964
2016-06-07,1.0016697509259616
2016-06-08,1.0017480090613058
2016-06-09,1.0016232098641877
2016-06-10,1.0012063924941945
2016-06-13,1.000733497219387
2016-06-14,1.0004071809523796
2016-06-15,1.0001838704891537
2016-06-16,1.000479115899722
2016-06-17,1.0003160507101152
2016-06-20,1.0009478972051495
2016-06-21,1.0011786363652164
2016-06-22,1.0007027614958328
2016-06-23,1.0022606444402125
2016-06-24,0.9978948516658913
2016-06-27,0.9978032777931163
2016-06-28,0.9978807464321537
2016-06-29,0.998025996742782
2016-06-30,0.9982511810183532
2016-07-05,0.9982511810183532
2016-07-06,0.9994857850636636
2016-07-07,0.9996643049995234
2016-07-08,1.0074864832689696
2016-07-11,1.010218500466293
2016-07-12,1.0152156930384328
2016-07-13,1.015907418192157
2016-07-14,1.0228705488970047
2016-07-15,1.0234386478422488
2016-07-18,1.0261510709349249
2016-07-19,1.0279706768370895
2016-07-20,1.0303154076374357
2016-07-21,1.0234584468045145
2016-07-22,1.02508019071377
2016-07-25,1.020927468087229
2016-07-26,1.0296041292978142
2016-07-27,1.0285745542878066
2016-07-28,1.0285745542878066
2016-07-29,1.0283415922897208
2016-08-01,1.027903860533713
2016-08-02,1.0250196491787438
2016-08-03,1.026126144723397
2016-08-04,1.0248636718910302
2016-08-05,1.0314430399746417
2016-08-08,1.0307589516427818
2016-08-09,1.0307828679487216
2016-08-10,1.0302189769566008
2016-08-11,1.0325876748250682
2016-08-12,1.0314055269835218
2016-08-15,1.0350539566068437
2016-08-16,1.0337213917490187
2016-08-17,1.0337323009195203
2016-08-18,1.0324179087179028
2016-08-19,1.0340632832590178
2016-08-22,1.0335462768822274
2016-08-23,1.0345086516610673
2016-08-24,1.028670757733782
2016-08-25,1.0253068320992111
2016-08-26,1.0221092014240238
2016-08-29,1.0269109535271361
2016-08-30,1.0230357970720572
2016-08-31,1.0186538435959096
2016-09-01,1.0193272443236387
2016-09-02,1.0246738180366348
2016-09-06,1.026143534296776
2016-09-07,1.0258456436837375
2016-09-08,1.0247564149265456
2016-09-09,0.9997571386901518
2016-09-12,1.01364712388513
2016-09-13,0.9971745720380469
2016-09-14,0.9942563629855198
2016-09-15,1.002644153509356
2016-09-16,0.9985888712146159
2016-09-19,0.9991697817761328
2016-09-20,1.000151782496208
2016-09-21,1.0135965365185535
2016-09-22,1.019878061191552
2016-09-23,1.012780609321904
2016-09-26,1.0012338286361655
2016-09-27,1.0090788298726547
2016-09-28,1.0141295870073108
2016-09-29,1.013115459636371
2016-09-30,1.0141264279366784
2016-10-04,1.0141264279366784
2016-10-05,1.0159178136488605
2016-10-06,1.016293054729286
2016-10-07,1.0149567174652459
2016-10-10,1.0163232386307508
2016-10-11,1.0074919689964825
2016-10-12,1.0079892460598687
2016-10-13,1.004304747782227
2016-10-14,1.0084575656004593
2016-10-17,1.0043481091842146
2016-10-18,1.0190629785369296
2016-10-19,1.0180439425140688
2016-10-20,1.0180439425140688
2016-10-21,1.0180439425140688
2016-10-24,1.0180439425140688
2016-10-25,1.0173450348359658
2016-10-26,1.017230031943072
2016-10-27,1.0166832093016511
2016-10-28,1.0168560798817434
2016-10-31,1.0166253112120187
2016-11-01,1.0156123865345448
2016-11-02,1.0141326898181182
2016-11-03,1.0132126530298453
2016-11-04,1.0128964870191002
2016-11-07,1.026646067934331
2016-11-08,1.0283378768585802
2016-11-09,1.0458825753103884
2016-11-10,1.0450509038069957
2016-11-11,1.0450509038069957
2016-11-14,1.0455925781753217
2016-11-15,1.0454701249809688
2016-11-16,1.0448021206057176
2016-11-17,1.045642172024151
2016-11-18,1.0453978682310172
2016-11-21,1.0456858781070644
2016-11-22,1.046945342085887
2016-11-23,1.0486058521685728
2016-11-25,1.049253315382403
2016-11-28,1.0462839946293636
2016-11-29,1.0505068366229837
2016-11-30,1.052676682252185
2016-12-01,1.0518072174981976
2016-12-02,1.0513412664023452
2016-12-05,1.05233041518323
2016-12-06,1.052725549667606
2016-12-07,1.0619535185647955
2016-12-08,1.0644988462228306
2016-12-09,1.068777382124244
2016-12-12,1.0658077753048207
2016-12-13,1.0717983847441552
2016-12-14,1.0658804468380492
2016-12-15,1.068693212563567
2016-12-16,1.0649871821848924
2016-12-19,1.0683837158442984
2016-12-20,1.0757654942539647
2016-12-21,1.0742468066946846
2016-12-22,1.0720123426849093
2016-12-23,1.0745925482648946
2016-12-27,1.0748308065754324
2016-12-28,1.067772005679993
2016-12-29,1.06567351884248
2016-12-30,1.0626936697758265
2017-01-04,1.0626936697758265
2017-01-05,1.0621598955376697
2017-01-06,1.0647923691880805
2017-01-09,1.0620423889481636
2017-01-10,1.0630740508735728
2017-01-11,1.0659322187121607
2017-01-12,1.0603379313862997
2017-01-13,1.0613035587132014
2017-01-17,1.0523100250811275
2017-01-18,1.0498411021389864
2017-01-19,1.047195161509148
2017-01-20,1.0507602354079846
2017-01-23,1.0497094922972119
2017-01-24,1.0507986579634194
2017-01-25,1.0506620307346295
2017-01-26,1.0509147882739969
2017-01-27,1.0505469017327014
2017-01-30,1.0478277031819698
2017-01-31,1.0435268822585546
2017-02-01,1.043358558845189
2017-02-02,1.039666268882034
2017-02-03,1.0522657259648218
2017-02-06,1.0502474880043062
2017-02-07,1.0530853261517814
2017-02-08,1.0490003221133655
2017-02-09,1.0548557042810092
2017-02-10,1.06211204809139
2017-02-13,1.0722270838856163
2017-02-14,1.0780897679967916
2017-02-15,1.0843373783767594
2017-02-16,1.0852460955009933
2017-02-17,1.0866171006277914
2017-02-21,1.0966705058397024
2017-02-22,1.0970008171581436
2017-02-23,1.0971144899272558
2017-02-24,1.0975942490711945
2017-02-27,1.1045901773874263
2017-02-28,1.1027858666070822
2017-03-01,1.1195354202469732
2017-03-02,1.112915938730179
2017-03-03,1.1135599878113815
2017-03-06,1.1102379017841424
2017-03-07,1.1099883494851104
2017-03-08,1.1063414112035004
2017-03-09,1.1033790556374785
2017-03-10,1.1028260413606603
2017-03-13,1.10368281517275
2017-03-14,1.100858358576535
2017-03-15,1.105949868093836
2017-03-16,1.1057879475761476
2017-03-17,1.1054128045577045
2017-03-20,1.102469304710041
2017-03-21,1.0832653676142456
2017-03-22,1.080865451070653
2017-03-23,1.0797845882506776
2017-03-24,1.079141117610951
2017-03-27,1.078063752024697
2017-03-28,1.0812372773633456
2017-03-29,1.0793967085766867
2017-03-30,1.082203140044832
2017-03-31,1.0791431485959588
2017-04-04,1.0791431485959588
2017-04-05,1.0788514396881932
2017-04-06,1.0782939481051441
2017-04-07,1.0784012351830428
2017-04-10,1.0776334141959567
2017-04-11,1.0782934887383075
2017-04-12,1.0772565022574296
2017-04-13,1.0725379907454229
2017-04-17,1.0801825337627124
2017-04-18,1.0778382386168497
2017-04-19,1.0767604239438402
2017-04-20,1.0779105753184457
2017-04-21,1.0768501393392071
2017-04-24,1.0793753411927292
2017-04-25,1.0838476849819276
2017-04-26,1.0833390531959306
2017-04-27,1.0831397917424381
2017-04-28,1.0821550312042334
2017-05-01,1.0820141671982002
2017-05-02,1.0837281984347493
2017-05-03,1.084719660180613
2017-05-04,1.0861931578055637
2017-05-05,1.0870907377383117
2017-05-08,1.0863957887013824
2017-05-09,1.0859661264474187
2017-05-10,1.0834172753688205
2017-05-11,1.0829199775558196
2017-05-12,1.0816499644322108
2017-05-15,1.0872166027389707
2017-05-16,1.086904217034874
2017-05-17,1.0704100026479626
2017-05-18,1.0734711090173157
2017-05-19,1.0723976619681865
2017-05-22,1.072803518851604
2017-05-23,1.0731313320299833
2017-05-24,1.0729541480913336
2017-05-25,1.0740611050986208
2017-05-26,1.0737649288577695
2017-05-30,1.0749245104390526
2017-05-31,1.0784985447460447
2017-06-01,1.0837453906893073
2017-06-02,1.0913517712666343
2017-06-05,1.0903855715561133
2017-06-06,1.0861155736394628
2017-06-07,1.0866105812928653
2017-06-08,1.0850369554049828
2017-06-09,1.0889351174478334
2017-06-12,1.0877817061128223
2017-06-13,1.0921613681251965
2017-06-14,1.094674263425749
2017-06-15,1.094109280277467
2017-06-16,1.0955058243963842
2017-06-19,1.094410333462076
2017-06-20,1.0938732885532712
2017-06-21,1.0933647969111386
2017-06-22,1.0932214805864466
2017-06-23,1.0945815267955894
2017-06-26,1.0944696620484802
2017-06-27,1.0882333486560745
2017-06-28,1.091780999409376
2017-06-29,1.082338003126287
2017-06-30,1.088339384269203
2017-07-05,1.088339384269203
2017-07-06,1.0881872292088253
2017-07-07,1.0884170758275225
2017-07-10,1.0884142890972228
2017-07-11,1.0882890638968172
2017-07-12,1.0887623732301774
2017-07-13,1.088615991728278
2017-07-14,1.0889622667876657
2017-07-17,1.0890141733294711
2017-07-18,1.0886276387492884
2017-07-19,1.089210838006076
2017-07-20,1.0888721719702394
2017-07-21,1.0887136676680644
2017-07-24,1.088147264601739
2017-07-25,1.0873550909441076
2017-07-26,1.0872013166111072
