date,turbulence_value,threshold,excess
2016-01-07,46.49937761407848,40.30818639069104,6.191191223387442
2016-01-14,44.656584649970135,40.30818639069104,4.348398259279094
2016-01-15,75.57486456990134,40.30818639069104,35.266678179210295
2016-01-20,60.750265496004744,40.30818639069104,20.442079105313702
2016-01-22,163.17235324006114,40.30818639069104,122.8641668493701
2016-01-26,95.94575009494531,40.30818639069104,55.63756370425427
2016-01-27,105.41287177208744,40.30818639069104,65.1046853813964
2016-01-28,50.02713023479601,40.30818639069104,9.71894384410497
2016-01-29,54.88060320109122,40.30818639069104,14.572416810400178
2016-02-02,87.59840227190796,40.30818639069104,47.290215881216916
2016-02-03,70.87150469355498,40.30818639069104,30.56331830286394
2016-02-04,51.88640852026274,40.30818639069104,11.5782221295717
2016-02-05,102.7713429727944,40.30818639069104,62.46315658210336
2016-02-08,86.35257427574359,40.30818639069104,46.04438788505255
2016-02-09,46.16611060916828,40.30818639069104,5.857924218477237
2016-02-10,57.69886527783633,40.30818639069104,17.39067888714529
2016-02-11,130.59617872021383,40.30818639069104,90.28799232952278
2016-02-18,76.2929195724386,40.30818639069104,35.984733181747565
2016-03-07,48.82522201084749,40.30818639069104,8.517035620156449
2016-04-19,57.07361232140789,40.30818639069104,16.76542593071685
2016-04-20,72.51201636538454,40.30818639069104,32.2038299746935
2016-04-21,70.86620593543506,40.30818639069104,30.55801954474402
2016-04-22,56.055445281118985,40.30818639069104,15.747258890427943
2016-04-27,44.53167591385976,40.30818639069104,4.223489523168716
2016-05-19,158.50589491494546,40.30818639069104,118.19770852425441
2016-06-24,45.478203733914675,40.30818639069104,5.170017343223634
2016-07-26,73.67755919709138,40.30818639069104,33.36937280640034
2016-07-27,48.09511791236844,40.30818639069104,7.7869315216773956
2016-08-05,110.61915772169628,40.30818639069104,70.31097133100525
2016-09-28,47.86631798207039,40.30818639069104,7.55813159137935
2016-10-18,65.3937466799934,40.30818639069104,25.085560289302357
2016-10-19,45.48962574780806,40.30818639069104,5.181439357117021
2016-10-20,100.09265048664136,40.30818639069104,59.78446409595032
2016-10-21,51.978657673833546,40.30818639069104,11.670471283142504
2016-10-25,68.51790342373212,40.30818639069104,28.20971703304108
2016-10-28,42.73241500991642,40.30818639069104,2.4242286192253815
2016-11-09,148.0609672790819,40.30818639069104,107.75278088839084
2016-11-10,134.1308315057783,40.30818639069104,93.82264511508725
2016-11-14,76.00353231197838,40.30818639069104,35.695345921287334
2016-11-17,47.33198355004592,40.30818639069104,7.023797159354878
2016-11-30,48.325141619142954,40.30818639069104,8.016955228451913
2017-01-20,42.78602091971364,40.30818639069104,2.4778345290226014
2017-01-24,80.72429993794218,40.30818639069104,40.416113547251136
2017-03-22,46.491333796910986,40.30818639069104,6.183147406219945
2017-04-18,48.915000504176795,40.30818639069104,8.606814113485754
2017-04-25,95.11297023047491,40.30818639069104,54.80478383978387
2017-05-18,60.726131166538394,40.30818639069104,20.417944775847353
2017-06-16,45.974039100205296,40.30818639069104,5.665852709514255
2017-06-30,82.93586130705029,40.30818639069104,42.62767491635925
2017-07-25,138.99515116990236,40.30818639069104,98.68696477921131
2017-07-26,158.47682764312705,40.30818639069104,118.168641252436
2017-07-27,108.70848163706961,40.30818639069104,68.40029524637856
2017-09-01,5576.773371400662,40.30818639069104,5536.465185009971
2017-09-05,81.28099518055924,40.30818639069104,40.9728087898682
2017-09-07,61.048555336048786,40.30818639069104,20.740368945357744
2017-10-12,78.88874201422779,40.30818639069104,38.580555623536746
2017-10-17,53.40707760218993,40.30818639069104,13.098891211498888
2017-10-18,118.77960135844722,40.30818639069104,78.47141496775617
2017-10-23,59.71213198743668,40.30818639069104,19.403945596745636
2017-10-24,114.40682482539005,40.30818639069104,74.09863843469901
2017-10-25,51.32662863300784,40.30818639069104,11.018442242316802
2017-10-27,137.27173885237679,40.30818639069104,96.96355246168574
2017-10-30,53.14380660933545,40.30818639069104,12.835620218644408
2017-11-13,60.70487182976252,40.30818639069104,20.396685439071476
